,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.856e-05,6.239e-04,1.364e-04,1.385e-04,1.470e-04,4.996e-05,1.895e-05,5.598e-05
std,4.062e-05,4.032e-04,1.567e-04,9.851e-05,8.582e-05,3.806e-05,1.499e-05,2.627e-05
min,5.960e-08,2.384e-07,0.000e+00,4.452e-07,2.086e-07,5.960e-08,3.166e-08,1.341e-06
0.1%,5.960e-08,2.384e-07,0.000e+00,4.452e-07,2.086e-07,5.960e-08,3.166e-08,1.341e-06
25%,1.258e-05,2.148e-04,1.164e-10,5.140e-05,7.442e-05,1.622e-05,1.028e-05,4.261e-05
50%,2.396e-05,6.813e-04,9.714e-05,1.168e-04,1.443e-04,4.373e-05,1.552e-05,5.621e-05
75%,5.163e-05,9.471e-04,2.066e-04,2.262e-04,2.131e-04,7.829e-05,2.345e-05,7.067e-05
99.9%,2.354e-04,1.364e-03,7.761e-04,3.720e-04,3.856e-04,2.615e-04,1.172e-04,1.690e-04
max,2.354e-04,1.364e-03,7.761e-04,3.720e-04,3.856e-04,2.615e-04,1.172e-04,1.690e-04
