,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.391e-05,4.555e-04,3.134e-05,8.198e-05,3.053e-05,2.532e-05,9.146e-06,1.285e-05
std,2.034e-05,7.342e-05,6.463e-05,2.803e-05,2.194e-05,2.146e-05,1.052e-05,1.307e-05
min,1.788e-07,1.910e-04,0.000e+00,1.803e-06,4.768e-07,1.192e-07,2.794e-09,2.235e-08
0.1%,1.788e-07,1.910e-04,0.000e+00,1.803e-06,4.768e-07,1.192e-07,2.794e-09,2.235e-08
25%,1.042e-05,3.943e-04,0.000e+00,6.449e-05,1.633e-05,7.793e-06,2.788e-06,3.653e-06
50%,1.970e-05,4.481e-04,1.746e-10,8.032e-05,2.742e-05,2.092e-05,6.470e-06,8.974e-06
75%,2.992e-05,5.249e-04,4.600e-05,9.556e-05,3.734e-05,3.779e-05,1.121e-05,1.784e-05
99.9%,1.478e-04,6.390e-04,5.289e-04,1.808e-04,1.670e-04,1.308e-04,7.143e-05,1.011e-04
max,1.478e-04,6.390e-04,5.289e-04,1.808e-04,1.670e-04,1.308e-04,7.143e-05,1.011e-04
