foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.520e-05,9.344e-04,1.635e-05,9.805e-05,9.942e-05,7.417e-06,2.307e-05
1.639e-05,8.605e-04,1.999e-06,1.198e-04,1.102e-04,1.212e-05,4.679e-06
2.307e-05,8.497e-04,1.204e-05,8.756e-05,1.281e-04,1.343e-05,4.017e-05
1.097e-05,9.186e-04,9.824e-06,9.078e-05,1.390e-04,1.161e-05,7.987e-06
1.007e-05,9.389e-04,9.667e-07,8.452e-05,1.546e-04,2.886e-05,3.654e-05
1.389e-05,9.105e-04,2.367e-05,7.147e-05,1.075e-04,6.800e-05,1.988e-05
1.252e-05,8.967e-04,4.105e-05,5.841e-05,8.467e-05,2.044e-05,1.910e-05
2.855e-05,9.007e-04,6.599e-06,1.089e-04,6.810e-05,1.036e-05,9.865e-06
2.265e-05,9.191e-04,2.197e-05,1.094e-04,7.239e-05,9.820e-06,2.474e-05
1.979e-05,9.303e-04,1.497e-05,1.010e-04,8.380e-05,1.071e-05,2.339e-05
2.337e-05,9.379e-04,1.701e-05,1.100e-04,1.051e-04,8.859e-06,2.527e-05
1.949e-05,9.282e-04,1.026e-06,1.220e-04,1.103e-04,9.082e-06,2.509e-05
1.651e-05,9.229e-04,1.697e-05,1.349e-04,1.205e-04,3.092e-05,2.518e-05
1.669e-05,9.196e-04,4.591e-05,1.447e-04,1.108e-04,4.154e-05,1.201e-05
1.544e-05,9.334e-04,8.702e-05,9.829e-05,1.066e-04,6.634e-05,3.287e-05
2.235e-05,9.685e-04,5.089e-05,1.049e-04,9.304e-05,3.674e-05,2.202e-05
4.077e-05,9.561e-04,3.327e-05,1.138e-04,8.178e-05,4.850e-06,8.762e-06
3.904e-05,9.127e-04,3.033e-05,9.453e-05,8.750e-05,4.105e-06,1.043e-06
5.376e-05,8.934e-04,2.282e-05,9.388e-05,8.848e-05,1.989e-05,9.090e-06
3.749e-05,9.360e-04,3.049e-05,6.801e-05,1.031e-04,1.579e-05,1.353e-05
3.487e-05,9.561e-04,2.693e-05,4.613e-05,1.128e-04,1.425e-05,5.275e-06
2.646e-05,9.725e-04,4.254e-06,6.360e-05,1.509e-04,4.697e-05,4.342e-05
3.546e-05,9.704e-04,1.711e-05,5.579e-05,1.923e-04,3.705e-05,1.988e-05
2.706e-05,9.537e-04,1.864e-05,9.900e-05,1.619e-04,9.634e-06,1.603e-05
1.913e-05,9.356e-04,2.898e-05,1.319e-04,1.315e-04,1.933e-05,9.656e-06
4.637e-05,9.637e-04,4.381e-05,1.140e-04,1.521e-04,2.570e-05,2.769e-05
3.910e-05,9.966e-04,4.966e-05,1.068e-04,1.457e-04,1.749e-05,4.351e-06
3.582e-05,9.904e-04,6.869e-05,7.766e-05,1.105e-04,1.252e-05,2.906e-05
7.784e-05,9.642e-04,2.241e-05,8.249e-05,1.751e-04,3.154e-05,3.436e-05
4.965e-05,9.887e-04,1.031e-05,8.303e-05,1.728e-04,3.578e-05,3.347e-05
2.086e-05,1.000e-03,8.034e-06,1.044e-04,1.362e-04,3.806e-05,3.237e-05
5.782e-06,1.020e-03,4.875e-06,1.062e-04,1.379e-04,2.885e-05,3.144e-05
3.850e-05,1.010e-03,4.156e-06,1.159e-04,1.097e-04,4.664e-06,1.702e-05
1.258e-05,9.696e-04,1.099e-05,1.195e-04,8.780e-05,2.767e-05,9.298e-06
7.212e-06,9.532e-04,1.561e-05,1.168e-04,6.908e-05,4.428e-05,3.535e-05
4.053e-06,9.649e-04,7.052e-06,1.128e-04,7.886e-05,4.446e-05,4.089e-05
6.557e-07,9.735e-04,1.017e-06,1.090e-04,8.756e-05,4.437e-05,4.622e-05
8.225e-06,9.804e-04,1.476e-05,9.853e-05,9.534e-05,3.158e-05,4.572e-05
7.391e-06,9.573e-04,2.426e-05,1.081e-04,1.123e-04,1.176e-05,2.319e-05
6.735e-06,9.217e-04,1.322e-05,7.653e-05,1.785e-04,3.055e-05,7.600e-06
1.490e-06,9.274e-04,1.591e-05,8.529e-05,1.836e-04,3.123e-05,5.215e-06
3.994e-06,9.315e-04,1.916e-05,9.400e-05,1.878e-04,3.217e-05,3.546e-06
3.105e-05,9.339e-04,2.891e-05,8.833e-05,1.756e-04,5.310e-05,3.099e-05
4.250e-05,9.341e-04,1.979e-05,9.817e-05,1.751e-04,4.923e-05,2.977e-05
4.399e-05,9.451e-04,1.413e-05,1.027e-04,1.743e-04,5.702e-05,2.173e-05
3.695e-05,9.477e-04,1.162e-05,1.097e-04,1.558e-04,6.703e-05,1.410e-05
4.095e-05,9.272e-04,7.339e-07,1.356e-04,1.277e-04,4.767e-05,6.583e-05
4.452e-05,9.506e-04,5.253e-06,1.707e-04,1.553e-04,6.755e-05,2.143e-05
5.829e-05,9.384e-04,1.654e-05,1.765e-04,1.663e-04,5.469e-05,1.368e-05
7.010e-05,9.363e-04,1.826e-05,1.743e-04,1.813e-04,3.667e-05,1.410e-05
6.378e-05,9.537e-04,8.643e-06,1.501e-04,1.692e-04,3.322e-05,2.742e-05
5.138e-05,9.589e-04,3.830e-06,1.361e-04,1.668e-04,2.624e-05,4.384e-05
5.049e-05,9.565e-04,2.440e-05,1.240e-04,1.679e-04,1.376e-05,4.092e-05
5.329e-05,9.503e-04,3.092e-05,1.208e-04,1.678e-04,1.039e-05,3.850e-05
5.394e-05,9.444e-04,3.052e-05,1.217e-04,1.673e-04,1.020e-05,4.026e-05
5.466e-05,9.415e-04,2.950e-05,1.231e-04,1.666e-04,1.010e-05,4.172e-05
5.573e-05,9.410e-04,2.797e-05,1.255e-04,1.658e-04,1.028e-05,4.277e-05
6.890e-05,9.415e-04,3.108e-05,1.330e-04,1.665e-04,2.929e-05,3.529e-05
6.253e-05,9.339e-04,1.644e-05,1.430e-04,1.594e-04,3.444e-05,4.786e-05
5.025e-05,9.265e-04,1.125e-06,1.466e-04,1.443e-04,4.894e-05,8.532e-05
4.768e-05,9.139e-04,6.855e-06,1.411e-04,1.445e-04,4.735e-05,8.789e-05
4.560e-05,9.043e-04,1.210e-05,1.363e-04,1.446e-04,4.612e-05,8.988e-05
4.339e-05,8.976e-04,1.651e-05,1.320e-04,1.448e-04,4.470e-05,9.182e-05
4.113e-05,8.948e-04,2.066e-05,1.287e-04,1.452e-04,4.373e-05,9.343e-05
2.879e-05,8.931e-04,3.640e-05,1.683e-04,1.254e-04,4.035e-05,8.667e-05
1.359e-05,9.360e-04,2.943e-06,1.623e-04,1.558e-04,5.909e-05,1.253e-04
2.426e-05,9.522e-04,2.570e-07,1.442e-04,1.520e-04,5.683e-05,1.309e-04
2.611e-05,9.682e-04,2.248e-05,1.405e-04,1.833e-04,2.772e-05,1.176e-04
1.538e-05,9.694e-04,2.560e-05,1.339e-04,1.802e-04,2.714e-05,1.179e-04
4.530e-06,9.675e-04,2.499e-05,1.258e-04,1.704e-04,3.354e-05,1.116e-04
2.563e-06,9.532e-04,2.457e-05,1.068e-04,1.550e-04,3.503e-05,1.068e-04
2.056e-05,9.339e-04,4.749e-05,9.555e-05,1.442e-04,1.935e-05,9.263e-05
4.411e-05,9.270e-04,6.204e-05,1.007e-04,1.313e-04,2.176e-06,6.488e-05
5.209e-05,9.391e-04,4.779e-05,1.113e-04,1.274e-04,2.541e-06,5.969e-05
4.971e-05,9.525e-04,3.396e-05,1.206e-04,1.295e-04,1.892e-06,5.358e-05
3.970e-05,9.525e-04,1.586e-05,1.303e-04,1.197e-04,8.911e-06,5.278e-05
3.511e-05,9.277e-04,1.363e-06,1.484e-04,4.542e-05,1.141e-05,1.001e-05
4.846e-05,9.561e-04,1.338e-05,1.630e-04,4.017e-05,1.144e-05,2.286e-05
6.098e-05,9.933e-04,3.788e-05,1.363e-04,5.373e-05,1.328e-05,6.109e-06
6.807e-05,9.861e-04,3.137e-05,1.269e-04,5.808e-05,1.194e-05,1.389e-05
7.445e-05,9.773e-04,2.228e-05,1.196e-04,6.154e-05,1.058e-05,1.898e-05
8.029e-05,9.699e-04,1.340e-05,1.129e-04,6.497e-05,9.201e-06,2.384e-05
8.595e-05,9.649e-04,4.910e-06,1.067e-04,6.866e-05,7.384e-06,2.861e-05
9.018e-05,9.620e-04,3.409e-06,1.001e-04,7.266e-05,6.303e-06,3.281e-05
7.701e-05,9.620e-04,1.016e-05,8.589e-05,8.506e-05,8.360e-06,3.049e-05
8.059e-05,9.594e-04,2.051e-05,6.622e-05,9.525e-05,1.801e-05,2.673e-05
8.863e-05,9.644e-04,2.928e-05,6.157e-05,1.001e-04,1.670e-05,3.216e-05
9.614e-05,9.694e-04,4.959e-05,8.166e-05,1.252e-04,2.507e-05,2.354e-05
