,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,7.940e-05,7.884e-04,1.259e-04,2.381e-04,1.664e-04,2.000e-05,1.941e-05
std,5.660e-05,1.296e-04,8.804e-05,1.214e-04,6.793e-05,1.508e-05,2.212e-05
min,1.788e-07,1.628e-04,2.570e-07,1.079e-05,2.056e-06,2.906e-07,5.960e-08
0.1%,1.788e-07,1.628e-04,2.570e-07,1.079e-05,2.056e-06,2.906e-07,5.960e-08
25%,3.643e-05,6.796e-04,4.946e-05,1.254e-04,1.382e-04,8.341e-06,4.917e-06
50%,7.328e-05,8.082e-04,1.185e-04,2.191e-04,1.666e-04,1.671e-05,1.164e-05
75%,1.068e-04,9.008e-04,1.765e-04,3.581e-04,1.862e-04,2.885e-05,2.571e-05
99.9%,2.890e-04,1.020e-03,5.104e-04,4.481e-04,3.151e-04,9.467e-05,1.309e-04
max,2.890e-04,1.020e-03,5.104e-04,4.481e-04,3.151e-04,9.467e-05,1.309e-04
