,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.242e-04,1.301e-03,1.020e-03,5.686e-04,9.566e-04,3.233e-04,1.930e-05,4.006e-05
std,6.849e-05,3.524e-04,8.694e-04,1.915e-04,2.881e-04,7.578e-05,1.983e-05,2.616e-05
min,9.656e-06,4.220e-05,2.205e-06,9.242e-06,1.577e-04,6.557e-07,1.490e-08,5.960e-08
0.1%,9.656e-06,4.220e-05,2.205e-06,9.242e-06,1.577e-04,6.557e-07,1.490e-08,5.960e-08
25%,1.943e-04,1.367e-03,2.104e-04,4.311e-04,7.479e-04,2.971e-04,3.900e-06,1.970e-05
50%,2.304e-04,1.449e-03,8.404e-04,6.151e-04,1.069e-03,3.364e-04,1.071e-05,3.757e-05
75%,2.680e-04,1.521e-03,1.572e-03,7.290e-04,1.200e-03,3.869e-04,3.078e-05,6.045e-05
99.9%,3.714e-04,1.633e-03,2.758e-03,8.362e-04,1.305e-03,4.270e-04,1.032e-04,1.362e-04
max,3.714e-04,1.633e-03,2.758e-03,8.362e-04,1.305e-03,4.270e-04,1.032e-04,1.362e-04
