,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,8.167e-05,2.673e-04,2.412e-05,2.823e-05,4.389e-05,3.347e-05,7.258e-06,2.108e-05
std,5.334e-05,1.254e-04,8.113e-05,2.544e-05,3.265e-05,3.051e-05,8.880e-06,1.771e-05
min,5.960e-08,2.384e-07,0.000e+00,2.086e-07,4.768e-07,0.000e+00,7.451e-09,3.353e-08
0.1%,5.960e-08,2.384e-07,0.000e+00,2.086e-07,4.768e-07,0.000e+00,7.451e-09,3.353e-08
25%,4.329e-05,1.534e-04,0.000e+00,1.056e-05,2.068e-05,1.261e-05,1.874e-06,6.478e-06
50%,7.844e-05,3.233e-04,4.366e-11,2.063e-05,3.719e-05,2.360e-05,3.912e-06,1.785e-05
75%,1.028e-04,3.687e-04,1.863e-09,3.603e-05,5.710e-05,4.514e-05,9.140e-06,3.130e-05
99.9%,3.607e-04,4.387e-04,8.498e-04,1.412e-04,2.220e-04,2.217e-04,6.863e-05,1.019e-04
max,3.607e-04,4.387e-04,8.498e-04,1.412e-04,2.220e-04,2.217e-04,6.863e-05,1.019e-04
