,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.389e-03,1.509e-02,2.317e-04,9.345e-04,1.260e-03,1.456e-03,2.988e-04,1.317e-03
std,5.288e-04,4.438e-03,3.945e-04,5.814e-04,8.252e-04,4.295e-04,1.453e-04,7.485e-04
min,2.242e-04,1.130e-04,0.000e+00,1.042e-05,2.503e-06,3.231e-05,9.164e-07,2.781e-05
0.1%,2.242e-04,1.130e-04,0.000e+00,1.042e-05,2.503e-06,3.231e-05,9.164e-07,2.781e-05
25%,3.369e-03,1.304e-02,0.000e+00,4.844e-04,5.544e-04,1.125e-03,1.891e-04,5.952e-04
50%,3.504e-03,1.656e-02,4.657e-10,7.509e-04,1.167e-03,1.384e-03,3.222e-04,1.287e-03
75%,3.623e-03,1.858e-02,3.144e-04,1.483e-03,1.992e-03,1.797e-03,3.933e-04,2.056e-03
99.9%,4.132e-03,1.984e-02,1.582e-03,1.884e-03,3.006e-03,2.333e-03,5.365e-04,2.520e-03
max,4.132e-03,1.984e-02,1.582e-03,1.884e-03,3.006e-03,2.333e-03,5.365e-04,2.520e-03
