,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.673e-04,4.861e-03,1.005e-04,2.566e-05,2.491e-05,2.132e-05,2.843e-05
std,9.600e-05,1.600e-03,5.353e-05,2.228e-05,2.360e-05,1.811e-05,1.913e-05
min,4.768e-06,1.038e-03,2.086e-07,0.000e+00,2.980e-08,2.328e-08,7.451e-09
0.1%,4.768e-06,1.038e-03,2.086e-07,0.000e+00,2.980e-08,2.328e-08,7.451e-09
25%,1.929e-04,3.569e-03,5.595e-05,1.067e-05,9.336e-06,7.907e-06,1.358e-05
50%,3.135e-04,5.739e-03,1.088e-04,1.866e-05,1.775e-05,1.645e-05,2.690e-05
75%,3.395e-04,6.179e-03,1.432e-04,3.408e-05,3.450e-05,3.075e-05,3.951e-05
99.9%,4.536e-04,6.459e-03,2.078e-04,1.572e-04,1.709e-04,8.928e-05,1.111e-04
max,4.536e-04,6.459e-03,2.078e-04,1.572e-04,1.709e-04,8.928e-05,1.111e-04
