tfp,gr_tfp,lab,gr_lab,sigma,theta1,Eland,Fex,beta_hat
11.646302,0.016799157,10679.423,0.002059238,0.13685194,0.02144627,0.6541032,0.85294163,0.97673374
11.783719,0.01671537,10701.122,0.0020007181,0.13465963,0.020997463,0.6392305,0.858824,0.9766357
11.922056,0.016632004,10722.248,0.0019439734,0.13250054,0.02055775,0.624696,0.86470634,0.97653955
12.061322,0.016549049,10742.814,0.0018889433,0.13037392,0.02012691,0.61049193,0.8705888,0.9764453
12.201502,0.016466511,10762.838,0.0018355702,0.12827912,0.01970475,0.59661067,0.87647116,0.97635293
12.342604,0.016384384,10782.332,0.0017837996,0.12621614,0.01929116,0.58304524,0.8823535,0.9762623
12.48462,0.016302666,10801.31,0.0017335773,0.124184325,0.018885948,0.5697882,0.8882358,0.97617334
12.627549,0.016221356,10819.785,0.0016848523,0.12218321,0.01848894,0.5568327,0.8941182,0.9760861
12.771387,0.016140454,10837.773,0.0016375764,0.12021238,0.018099988,0.54417187,0.90000045,0.9760005
12.916137,0.016059952,10855.285,0.0015917,0.11827141,0.017718924,0.5317987,0.90588284,0.97591645
13.061792,0.015979853,10872.334,0.0015471785,0.1163599,0.017345604,0.5197068,0.9117652,0.9758339
13.208355,0.01590015,10888.933,0.0015039686,0.11447739,0.016979866,0.50788987,0.91764766,0.97575283
13.355816,0.015820848,10905.092,0.0014620275,0.112623505,0.016621575,0.49634168,0.92353004,0.97567326
13.504179,0.01574194,10920.824,0.0014213145,0.11079785,0.016270578,0.48505592,0.9294125,0.975595
13.653432,0.015663426,10936.139,0.0013817914,0.108999796,0.015926702,0.47402695,0.93529487,0.97551817
13.803578,0.015585306,10951.05,0.0013434194,0.10722937,0.015589868,0.46324876,0.9411772,0.97544265
13.954616,0.015507574,10965.566,0.001306163,0.10548598,0.01525991,0.45271567,0.9470595,0.9753684
14.10654,0.01543023,10979.699,0.001269986,0.10376925,0.014936692,0.44242206,0.9529419,0.97529536
14.259351,0.015353271,10993.458,0.0012348547,0.10207878,0.01462008,0.43236247,0.9588242,0.9752236
14.413039,0.0152766965,11006.854,0.001200737,0.10041421,0.0143099455,0.42253157,0.9647066,0.97515297
14.56761,0.015200501,11019.895,0.0011676009,0.098775014,0.014006136,0.4129241,0.97058904,0.97508353
14.723051,0.015124689,11032.59,0.0011354163,0.097161144,0.0137085775,0.40353513,0.9764714,0.97501516
