,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.476e-04,8.320e-04,3.441e-05,2.678e-04,2.564e-04,1.073e-04,3.526e-05,3.550e-05
std,7.255e-05,4.744e-04,7.534e-05,1.067e-04,1.047e-04,5.187e-05,1.941e-05,2.286e-05
min,5.960e-07,6.437e-06,0.000e+00,1.565e-06,3.219e-06,1.788e-07,7.153e-07,7.451e-08
0.1%,5.960e-07,6.437e-06,0.000e+00,1.565e-06,3.219e-06,1.788e-07,7.153e-07,7.451e-08
25%,9.029e-05,2.429e-04,0.000e+00,2.259e-04,1.691e-04,5.995e-05,1.872e-05,1.699e-05
50%,1.613e-04,9.975e-04,7.276e-12,3.058e-04,2.750e-04,1.202e-04,3.714e-05,4.095e-05
75%,1.981e-04,1.202e-03,3.187e-05,3.391e-04,3.459e-04,1.432e-04,4.873e-05,5.132e-05
99.9%,3.060e-04,1.489e-03,5.646e-04,4.281e-04,4.215e-04,2.245e-04,1.374e-04,1.880e-04
max,3.060e-04,1.489e-03,5.646e-04,4.281e-04,4.215e-04,2.245e-04,1.374e-04,1.880e-04
