,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.410e-04,9.640e-04,8.820e-05,1.280e-04,1.781e-04,6.644e-05,1.889e-05,4.440e-05
std,5.221e-05,2.570e-04,1.183e-04,8.016e-05,7.857e-05,4.088e-05,1.324e-05,2.774e-05
min,6.914e-06,2.913e-04,0.000e+00,1.496e-06,3.695e-06,2.980e-08,5.215e-08,7.153e-07
0.1%,6.914e-06,2.913e-04,0.000e+00,1.496e-06,3.695e-06,2.980e-08,5.215e-08,7.153e-07
25%,2.156e-04,8.605e-04,1.164e-10,6.405e-05,1.238e-04,2.967e-05,8.857e-06,2.080e-05
50%,2.606e-04,1.045e-03,4.795e-05,1.165e-04,1.717e-04,6.235e-05,1.719e-05,4.219e-05
75%,2.745e-04,1.167e-03,1.112e-04,1.938e-04,2.373e-04,1.066e-04,2.530e-05,6.146e-05
99.9%,3.389e-04,1.253e-03,5.765e-04,2.746e-04,3.796e-04,1.787e-04,8.981e-05,1.508e-04
max,3.389e-04,1.253e-03,5.765e-04,2.746e-04,3.796e-04,1.787e-04,8.981e-05,1.508e-04
