,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.033e-04,6.832e-04,9.197e-05,1.251e-04,5.640e-05,2.573e-05,3.440e-05
std,6.327e-05,2.588e-04,7.036e-05,8.007e-05,4.427e-05,1.948e-05,2.733e-05
min,2.384e-07,6.914e-06,3.576e-07,2.384e-07,0.000e+00,5.960e-08,1.192e-07
0.1%,2.384e-07,6.914e-06,3.576e-07,2.384e-07,0.000e+00,5.960e-08,1.192e-07
25%,5.347e-05,5.388e-04,3.726e-05,7.266e-05,2.402e-05,1.009e-05,1.369e-05
50%,9.322e-05,5.946e-04,6.804e-05,1.067e-04,4.601e-05,2.185e-05,2.781e-05
75%,1.475e-04,6.691e-04,1.371e-04,1.663e-04,7.772e-05,3.791e-05,4.722e-05
99.9%,2.382e-04,1.514e-03,2.721e-04,4.631e-04,2.493e-04,1.019e-04,2.357e-04
max,2.382e-04,1.514e-03,2.721e-04,4.631e-04,2.493e-04,1.019e-04,2.357e-04
