,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.493e-04,9.927e-04,2.903e-05,1.045e-04,1.959e-04,7.318e-05,1.082e-05,3.326e-05
std,9.938e-05,2.215e-04,7.502e-05,6.047e-05,7.817e-05,6.415e-05,1.072e-05,3.300e-05
min,1.192e-06,3.743e-05,0.000e+00,5.364e-07,4.768e-07,0.000e+00,0.000e+00,1.490e-08
0.1%,1.192e-06,3.743e-05,0.000e+00,5.364e-07,4.768e-07,0.000e+00,0.000e+00,1.490e-08
25%,1.967e-04,1.020e-03,0.000e+00,6.911e-05,1.493e-04,2.497e-05,3.658e-06,1.071e-05
50%,2.773e-04,1.064e-03,0.000e+00,9.845e-05,2.053e-04,5.436e-05,8.032e-06,2.592e-05
75%,3.184e-04,1.103e-03,1.863e-09,1.303e-04,2.422e-04,1.021e-04,1.376e-05,4.449e-05
99.9%,6.047e-04,1.274e-03,5.316e-04,4.313e-04,5.269e-04,3.622e-04,7.131e-05,2.577e-04
max,6.047e-04,1.274e-03,5.316e-04,4.313e-04,5.269e-04,3.622e-04,7.131e-05,2.577e-04
