,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,5.452e-05,2.920e-04,7.128e-05,7.577e-05,4.988e-05,2.402e-05,3.138e-05
std,4.865e-05,1.130e-04,6.136e-05,6.597e-05,3.315e-05,2.216e-05,2.491e-05
min,1.192e-07,3.338e-06,1.490e-08,2.384e-07,2.384e-07,5.960e-08,1.788e-07
0.1%,1.192e-07,3.338e-06,1.490e-08,2.384e-07,2.384e-07,5.960e-08,1.788e-07
25%,2.038e-05,2.059e-04,2.226e-05,3.028e-05,2.497e-05,7.927e-06,1.210e-05
50%,3.922e-05,3.107e-04,4.974e-05,5.883e-05,4.697e-05,1.535e-05,2.497e-05
75%,7.671e-05,3.818e-04,1.200e-04,9.853e-05,6.810e-05,3.494e-05,4.496e-05
99.9%,2.680e-04,5.350e-04,2.241e-04,3.335e-04,2.097e-04,1.609e-04,1.354e-04
max,2.680e-04,5.350e-04,2.241e-04,3.335e-04,2.097e-04,1.609e-04,1.354e-04
