,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.481e-03,2.196e-02,1.851e-04,2.715e-03,3.513e-03,9.646e-04,1.370e-04,1.680e-03
std,8.118e-04,4.453e-03,4.940e-04,1.693e-03,1.030e-03,3.885e-04,8.443e-05,8.889e-04
min,4.117e-04,4.342e-04,0.000e+00,4.396e-05,3.219e-04,3.815e-06,2.384e-06,1.230e-04
0.1%,4.117e-04,4.342e-04,0.000e+00,4.396e-05,3.219e-04,3.815e-06,2.384e-06,1.230e-04
25%,2.900e-03,2.013e-02,0.000e+00,1.471e-03,2.914e-03,7.288e-04,7.547e-05,1.101e-03
50%,3.409e-03,2.374e-02,0.000e+00,2.004e-03,3.896e-03,1.078e-03,1.277e-04,1.335e-03
75%,4.297e-03,2.514e-02,3.725e-09,4.081e-03,4.294e-03,1.245e-03,1.815e-04,1.819e-03
99.9%,4.568e-03,2.652e-02,1.899e-03,6.273e-03,5.047e-03,1.647e-03,4.227e-04,4.261e-03
max,4.568e-03,2.652e-02,1.899e-03,6.273e-03,5.047e-03,1.647e-03,4.227e-04,4.261e-03
