,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,4.029e-05,7.457e-05,6.066e-05,3.685e-05,3.521e-05,2.178e-05,2.081e-05
std,2.395e-05,3.796e-05,5.172e-05,2.726e-05,2.770e-05,1.711e-05,1.560e-05
min,2.384e-07,4.768e-07,1.937e-07,0.000e+00,1.192e-07,2.980e-08,8.941e-08
0.1%,2.384e-07,4.768e-07,1.937e-07,0.000e+00,1.192e-07,2.980e-08,8.941e-08
25%,2.170e-05,4.500e-05,1.756e-05,1.439e-05,1.557e-05,8.792e-06,8.278e-06
50%,3.672e-05,7.915e-05,4.634e-05,3.213e-05,2.933e-05,1.793e-05,1.815e-05
75%,5.761e-05,1.044e-04,9.505e-05,5.257e-05,4.718e-05,3.021e-05,2.979e-05
99.9%,1.335e-04,1.667e-04,2.416e-04,1.374e-04,1.583e-04,7.929e-05,8.038e-05
max,1.335e-04,1.667e-04,2.416e-04,1.374e-04,1.583e-04,7.929e-05,8.038e-05
